id,title,brand,category,set_details,size,color,purchase_date,image,notes
P1,PAA,SHIVAN & NARRESH,SET,"SET OF 2 (1 TSHIRT, 1 SHORTS)",https://drive.google.com/file/d/189MWJ0aVWKQI4FErnyvqJxokQZ7OMgZX/view?usp=drive_link,,,https://drive.google.com/uc?export=view&id=189MWJ0aVWKQI4FErnyvqJxokQZ7OMgZX,
P2,PAA,NEXT ,SET,"SET OF 2 (1 SHIRT, 1 SHORTS)",3 - 4 Y,104 CM,31st AUG 2024(FROM UK),https://drive.google.com/uc?export=view&id=1h1GNKWgMconnN9mNsBl5hLXGo4XqPQbd,
P3,PAA,RIVER ISLAND ,SET,"SET OF 2 (1 SHIRT, 1 SHORTS)",3 - 4 Y,,31st AUG 2024(FROM UK),https://drive.google.com/uc?export=view&id=1-linvn5x5GNW7fuOV9agukImLXlOEpYm,
P5,PAA,RIVER ISLAND ,SET,"SET OF 2 (1 SHIRT, 1 SHORTS)",3 - 4 Y,,31st AUG 2024(FROM UK),https://drive.google.com/uc?export=view&id=1hHnMcDRdYxOwpHedh8nn3V6U4gk-R6xD,
V1,VAA,ZARA,DRESS,SET OF 1(1  FLARE DRESS),12 - 18 M,,13th DEC 2024,https://drive.google.com/uc?export=view&id=1xsErtvDfk2nvf4Vl_QwGA4gi9Ug9rpus,
V2,VAA,NEXT ,DRESS,SET OF 1(1 FLARE DRESS),2 Y,,31st AUG 2024(FROM.UK),https://drive.google.com/uc?export=view&id=1olACWd0fsPAkEIvXR5rZYiKj3OWF21GN,
V3,VAA,NEXT ,DRESS,SET OF 1(1 FLARE DRESS),3 Y,,31st AUG 2024(FROM.UK),https://drive.google.com/uc?export=view&id=1GKQCPyVNYdqpjo89sfRnV13S5NqX2KC4,
V4,VAA,NEXT ,DRESS,SET OF 1(1 FLARE DRESS),4 Y,,31st AUG 2024(FROM.UK),https://drive.google.com/uc?export=view&id=1B2R1Z0Jbe1YfH1fQL-v6x6x6VpVC0jih,
V5,VAA,ZARA,DRESS,SET OF 1(1 FLARE DRESS),5 Y,,31st AUG 2024,https://drive.google.com/uc?export=view&id=1bhOU1YxsnAngFV7tj3cKgt5_nqNP9-Pl,
V6,VAA,ZARA,DRESS,SET OF 1(1 FLARE DRESS),3 Y,,31st AUG 2024,https://drive.google.com/uc?export=view&id=1izyWPpvbPg5Q_DXCWNYQ9NBGRInYoS_x,
S1,SAA,LOEWE,MINI DRESS,SET OF 1(1 FLARE DRESS),NA,,12th MAY 2025,https://drive.google.com/uc?export=view&id=1xsErtvDfk2nvf4Vl_QwGA4gi9Ug9rpus,
S2,SAA,SEA,MINI DRESS,SET OF 1(1 FLARE DRESS),SMALL,,12th MAY 2025,https://drive.google.com/uc?export=view&id=1olACWd0fsPAkEIvXR5rZYiKj3OWF21GN,
S3,SAA,MIGUELINA,MINI DRESS,SET OF 1 (1 COLLAR T SHIRT STYLE MINI DRESS),SMALL,,12th MAY 2025,https://drive.google.com/uc?export=view&id=1GKQCPyVNYdqpjo89sfRnV13S5NqX2KC4,
S4,SAA,ZARA,MINI DRESS,SET OF 1 (1 SMOCK WAIST FLARE  MINI DRESS),SMALL,,7th JUNE 2024(FROM RM),https://drive.google.com/uc?export=view&id=1B2R1Z0Jbe1YfH1fQL-v6x6x6VpVC0jih,
S5,SAA,DIANE VON FURSTENBERG,MINI DRESS,SET OF 1 (1WAIST TIE UP A-LINE MINI DRESS),EXTRA SMALL,,12th MAY 2025,https://drive.google.com/uc?export=view&id=1bhOU1YxsnAngFV7tj3cKgt5_nqNP9-Pl,
